Well	ID	plate	A260	A280	conc_corr_Fact	stock_nmoles	obs_source_MW	exp_conc	obs_conc	corr_obs_conc	exp_molarity	obs_molarity	delta_molarity	source_obs_molarity	dilution_factor_for_100uM	TSO_vol_for_100uM	H20_vol_for_100uM	TSO_vol_for_100uM_2	H2O_vol_for_100uM_2
D2	38	1	38.86	21.395	31.6470588235294	77	13996.2	1399.62	1943	1229.80470588235	100	87.8670429032418	12.1329570967582	878.670429032418	8.78670429032418	2.27616627795518	17.7238337220448	3	23.3601128709725
D3	39	1	36.1416666666667	20.577	31.7027027027027	84	13917.5	1391.75	1807	1145.73567567568	100	82.3233824807383	17.6766175192617	823.233824807383	8.23233824807383	2.42944342145799	17.570556578542	3	21.6970147442215
D4	40	1	38.5156666666667	21.945	31.1891891891892	83	13980.6	1398.06	1925.66666666667	1201.19963963964	100	85.919033492099	14.080966507901	859.19033492099	8.5919033492099	2.3277729261048	17.6722270738952	3	22.7757100476297
D5	41	1	32.989	18.9406666666667	31.5675675675676	84	13980	1398	1649.66666666667	1041.51927927928	100	74.5006637538826	25.4993362461174	745.006637538826	7.45006637538826	2.68453984062091	17.3154601593791	3	19.3501991261648
D6	42	1	34.7723333333333	19.26	31.2222222222222	80	13997.1	1399.71	1738.66666666667	1085.70074074074	100	77.566120177804	22.433879822196	775.66120177804	7.7566120177804	2.57844532563369	17.4215546743663	3	20.2698360533412
D7	43	1	32.0203333333333	17.722	31.4324324324324	83	13955.5	1395.55	1601	1006.46648648649	100	72.1197009413125	27.8802990586875	721.197009413125	7.21197009413125	2.77316735080128	17.2268326491987	3	18.6359102823938
D8	44	1	31.3963333333333	17.6956666666667	31.3414634146341	92	13949	1394.9	1569.66666666667	983.913008130081	100	70.5364548089527	29.4635451910473	705.364548089527	7.05364548089527	2.83541327022599	17.164586729774	3	18.1609364426858
D9	45	1	36.6336666666667	20.8783333333333	30.7894736842105	84	13996.1	1399.61	1831.66666666667	1127.92105263158	100	80.5882390545637	19.4117609454363	805.882390545637	8.05882390545637	2.48175170901286	17.5182482909871	3	21.1764717163691
D10	46	1	36.256	20.2966666666667	31.5238095238095	95	13971.7	1397.17	1812.66666666667	1142.84317460317	100	81.7970021259528	18.2029978740472	817.970021259528	8.17970021259528	2.44507738427914	17.5549226157209	3	21.5391006377858
D11	47	1	37.9933333333333	21.5903333333333	31.8717948717949	89	13972.4	1397.24	1899.66666666667	1210.91572649573	100	86.6648339938541	13.3351660061459	866.648339938541	8.66648339938541	2.30774110770446	17.6922588922955	3	22.9994501981562
D12	48	1	36.354	21.2076666666667	31.5641025641026	88	13957.5	1395.75	1817.66666666667	1147.46034188034	100	82.2110221658852	17.7889778341148	822.110221658852	8.22110221658851	2.43276381598128	17.5672361840187	3	21.6633066497655
E1	49	1	39.429	23.2176666666667	31.8235294117647	77	13965.4	1396.54	1971.33333333333	1254.69568627451	100	89.8431614042211	10.1568385957789	898.431614042211	8.98431614042211	2.22610154044071	17.7738984595593	3	23.9529484212663
E2	50	1	31.718	19.2166666666667	31.5348837209302	97	13980.4	1398.04	1585.66666666667	1000.07627906977	100	71.5341677684306	28.4658322315694	715.341677684306	7.15341677684306	2.79586673388635	17.2041332661137	3	18.4602503305292
E3	51	1	26.282	16.1283333333333	32.5135135135135	86	13905.1	1390.51	1314	854.455135135135	100	61.4490464027684	38.5509535972316	614.490464027684	6.14490464027684	3.25472910822892	16.7452708917711	3	15.4347139208305
E4	52	1	17.7353333333333	9.86466666666667	31.4583333333333	54	13947.5	1394.75	886.8	557.945	100	40.0032263846567	59.9967736153433	400.032263846568	4.00032263846567	4.99959673444515	15.0004032655548	3	9.00096791539703
